S_no,CO_NAME,Tag,
105,Lloyds Metals,NonF&O,"3. Lloyds Metals: Experienced fluctuating sales, difficulties with lenders including a history of default/bankruptcy, and a large penalty in FY2023 for breaking a contract. Dr Vijay Malik"
106,Pakka,NonF&O,
107,Eimco Elecon(I),NonF&O,
108,Simplex Infra,NonF&O,"2. Simplex Infra: Entered the corporate insolvency resolution process due to an inability to service debt and meet payment obligations to lenders. Simplex Infrastructures Ltd, The Economic Times"
109,Anuh Pharma,NonF&O,7. Anuh Pharma: Regulatory non-compliance issues are highlighted as a negative factor for credit ratings and could impact revenue and profitability. ICRA Limited
110,BCL Industries,NonF&O,
111,Banswara Syntex,NonF&O,
112,Timex Group,NonF&O,
113,Prem. Explosives,NonF&O,
114,Foseco India,NonF&O,
115,SPML Infra,NonF&O,"4. SPML Infra: While the search result doesn't provide detailed information on SPML Infra, similar companies within the infrastructure sector have been prone to governance issues related to project delays, debt, and regulatory compliance."
116,Steelcast,NonF&O,
117,Pitti Engg.,NonF&O,
118,Welspun Special.,NonF&O,
119,Dolat Algotech,NonF&O,
120,M M Forgings,NonF&O,
121,Monarch Networth,NonF&O,
122,Kamat Hotels,NonF&O,9. Kamat Hotels: No specific corporate governance issues were found in the provided search result snippets for Kamat Hotels.
123,Rajratan Global,NonF&O,
124,Arihant Capital,NonF&O,
125,Ram Ratna Wires,NonF&O,
126,Centum Electron,NonF&O,
127,Assoc.Alcohols,NonF&O,
128,Master Trust,NonF&O,
129,SEAMEC Ltd,NonF&O,
130,Faze Three,NonF&O,
131,Selan Expl. Tech,NonF&O,
132,Themis Medicare,NonF&O,
133,Optiemus Infra.,NonF&O,
134,Ugar Sugar Works,NonF&O,
135,Tinna Rubber,NonF&O,
136,Paramount Comm.,NonF&O,
137,Nila Infrastruct,NonF&O,8. Nila Infrastruct: No specific corporate governance issues were found in the provided search result snippets for Nila Infrastructures.
138,Capital India,NonF&O,
139,Remsons Ind,NonF&O,
140,Om Infra,NonF&O,
141,Intl. Conveyors,NonF&O,
142,Alicon Cast.,NonF&O,
143,Vikas Ecotech,NonF&O,
144,Choice Intl.,NonF&O,
145,Swelect Energy,NonF&O,
146,Sportking India,NonF&O,
147,Shaily Engineer.,NonF&O,
148,Sharda Motor,NonF&O,
149,Arihant Super.,NonF&O,
150,Paisalo Digital,NonF&O,5. Paisalo Digital: The information available doesn't provide specific details on governance issues for Paisalo Digital.
151,Filatex Fash.,NonF&O,
152,Satia Industries,NonF&O,
153,Lloyds Enterpris,NonF&O,
154,BF Utilities,NonF&O,
155,Aurionpro Sol.,NonF&O,
156,Panacea Biotec,NonF&O,
157,Indrapr.Medical,NonF&O,
158,GRM Overseas,NonF&O,
159,Manaksia,NonF&O,
160,Adit.Birla Money,NonF&O,
161,Maithan Alloys,NonF&O,
162,Summit Securitie,NonF&O,
163,Nelcast,NonF&O,
164,Kamdhenu,NonF&O,
165,S Chand & Compan,NonF&O,
166,T B Z,NonF&O,
167,Sindhu Trade,NonF&O,
168,Shoppers Stop,NonF&O,
169,3i Infotech,NonF&O,
170,Avantel,NonF&O,
171,Moschip Tech.,NonF&O,
172,Gulshan Polyols,NonF&O,
173,Shivalik Rasayan,NonF&O,
174,Rama Steel Tubes,NonF&O,
175,Magellanic Cloud,NonF&O,
176,Mcleod Russel,NonF&O,
177,SMS Pharma.,NonF&O,
178,Nandan Denim,NonF&O,
179,Rane (Madras),NonF&O,
180,Prime Focus,NonF&O,
181,Renaiss. Global,NonF&O,
182,MBL Infrast,NonF&O,
183,Kuantum Papers,NonF&O,
184,V2 Retail,NonF&O,
185,Zee Media,NonF&O,
186,Rushil Decor,NonF&O,
187,Cords Cable,NonF&O,
188,T R I L,NonF&O,
189,SEPC,NonF&O,
190,Shankara Build.,NonF&O,
191,Sastasundar Ven.,NonF&O,
192,Cyient DLM,NonF&O,
193,Expleo Solutions,NonF&O,
194,Ritco Logistics,NonF&O,
195,Artemis Medicare,NonF&O,
196,Thangamayil Jew.,NonF&O,
197,Cantabil Retail,NonF&O,
198,Stanley Lifesty.,NonF&O,
199,RPP Infra Proj.,NonF&O,
200,Dynamic Cables,NonF&O,
201,Orient Green,NonF&O,
202,Vardhman Special,NonF&O,
203,JTL Industries,NonF&O,
204,Indostar Capital,NonF&O,
205,Zuari Agro Chem.,NonF&O,
206,Waaree Renewab.,NonF&O,
207,Keystone Realtor,NonF&O,
208,Veto Switchgears,NonF&O,
209,Genus Paper & Bo,NonF&O,
210,NIBE,NonF&O,
211,HPL Electric,NonF&O,
212,Aurum Proptech,NonF&O,
213,Vintage Coffee,NonF&O,
214,AGI Infra,NonF&O,
215,Magadh Sugar,NonF&O,
216,InfoBeans Tech.,NonF&O,
217,Raghav Product.,NonF&O,
218,Gokul Agro,NonF&O,
219,Yatra Online,NonF&O,
220,5paisa Capital,NonF&O,
221,Manorama Indust.,NonF&O,
222,Signpost India,NonF&O,
223,D.P. Abhushan,NonF&O,
224,IFGL Refractori.,NonF&O,
225,Silver Touch,NonF&O,
226,Hindware Home In,NonF&O,
227,Sarveshwar Foods,NonF&O,
228,Synergy Green,NonF&O,
229,Sky Gold & Diam.,NonF&O,
230,Wonder Electric.,NonF&O,
231,Axita Cotton,NonF&O,
232,Nova Agritech,NonF&O,
233,Likhitha Infra.,NonF&O,
234,NDR Auto Compon.,NonF&O,
235,Max India Ltd,NonF&O,
236,DDev Plastiks,NonF&O,
237,National High,NonF&O,
238,Venus Pipes,NonF&O,
239,Baazar Style,NonF&O,
240,Zaggle Prepaid,NonF&O,
241,Cube Highways,NonF&O,
242,Raymond Lifestyl,NonF&O,
243,Sanofi Consumer,NonF&O,
244,OneSource Speci.,NonF&O,
245,Platinum Industr,NonF&O,
246,Astrazeneca Phar,NonF&O,
247,Force Motors,NonF&O,
248,Bharat Bijlee,NonF&O,
249,Bliss GVS Pharma,NonF&O,
250,Bombay Dyeing,NonF&O,
251,Borosil Renew.,NonF&O,
252,Cosmo First,NonF&O,
253,Deepak Nitrite,NonF&O,
254,Elecon Engg.Co,NonF&O,
255,Electrost.Cast.,NonF&O,
256,Elgi Equipments,NonF&O,
257,GE Vernova T&D,NonF&O,
258,Excel Industries,NonF&O,
259,Gabriel India,NonF&O,
260,Garware Tech.,NonF&O,
261,Federal-Mogul Go,NonF&O,
262,HEG,NonF&O,
263,BirlaNu Ltd,NonF&O,
264,IFB Industries,NonF&O,
265,Ingersoll-Rand,NonF&O,
266,ION Exchange,NonF&O,
267,K C P,NonF&O,
268,Kirl.Pneumatic,NonF&O,
269,Kirl. Brothers,NonF&O,
270,KSB,NonF&O,
271,Mangalam Cement,NonF&O,
272,Mangalore Chem.,NonF&O,
273,Mukand,NonF&O,
274,NCL Industries,NonF&O,
275,Prakash Industri,NonF&O,
276,Surya Roshni,NonF&O,
277,Siyaram Silk,NonF&O,
278,S P I C,NonF&O,
279,TVS Holdings,NonF&O,
280,Thirumalai Chem.,NonF&O,
281,Unichem Labs.,NonF&O,
282,West Coast Paper,NonF&O,
283,Dynamatic Tech.,NonF&O,
284,NESCO,NonF&O,
285,Rico Auto Inds,NonF&O,
286,Safari Inds.,NonF&O,
287,Lumax Industries,NonF&O,
288,Sudarshan Chem.,NonF&O,
289,GMM Pfaudler,NonF&O,
290,Banco Products,NonF&O,
291,Asahi India Glas,NonF&O,
292,Honda India,NonF&O,
293,Polyplex Corpn,NonF&O,
294,Hindustan Foods,NonF&O,
295,Sunflag Iron,NonF&O,
296,Kirloskar Indus.,NonF&O,
297,Pennar Industrie,NonF&O,
298,Subros,NonF&O,
299,Sarda Energy,NonF&O,
300,Jamna Auto Inds.,NonF&O,
301,Bhansali Engg.,NonF&O,
302,Venky's (India),NonF&O,
303,Jindal Drilling,NonF&O,
304,Steel Str. Wheel,NonF&O,
305,Swaraj Engines,NonF&O,
306,Vadilal Inds.,NonF&O,
307,Westlife Food,NonF&O,
308,Dhanuka Agritech,NonF&O,
309,Manali Petrochem,NonF&O,
310,Ramco Inds.,NonF&O,
311,L G Balakrishnan,NonF&O,
312,Indo Count Inds.,NonF&O,
313,Chemplast Sanmar,NonF&O,
314,Sequent Scien.,NonF&O,
315,Sandur Manganese,NonF&O,
316,I G Petrochems,NonF&O,
317,Balrampur Chini,NonF&O,
318,Welspun Living,NonF&O,
319,F A C T,NonF&O,
320,ITI,NonF&O,
321,Dredging Corpn.,NonF&O,
322,Ajmera Realty,NonF&O,
323,Guj. Ambuja Exp,NonF&O,
324,VST Till. Tract.,NonF&O,
325,Kovai Medical,NonF&O,
326,Dhampur Sugar,NonF&O,
327,KDDL Ltd,NonF&O,
328,Morepen Labs.,NonF&O,
329,Guj Inds. Power,NonF&O,
330,Bharat Rasayan,NonF&O,
331,Sangam India,NonF&O,
332,Veedol Corporat,NonF&O,
333,Aarti Drugs,NonF&O,
334,Ashapura Minech.,NonF&O,
335,Orchid Pharma,NonF&O,
336,Bodal Chemicals,NonF&O,
337,IFCI,NonF&O,
338,Vesuvius India,NonF&O,
339,G M Breweries,NonF&O,
340,Filatex India,NonF&O,
341,Ganesh Housing,NonF&O,
342,Neuland Labs.,NonF&O,
343,Avanti Feeds,NonF&O,
344,Mayur Uniquoters,NonF&O,
345,Vishnu Chemicals,NonF&O,
346,Tour. Fin. Corp.,NonF&O,
347,Heritage Foods,NonF&O,
348,Caplin Point Lab,NonF&O,
349,Astra Microwave,NonF&O,
350,Ugro Capital,NonF&O,
351,Greenply Industr,NonF&O,
352,Confidence Petro,NonF&O,
353,Sanghvi Movers,NonF&O,
354,Privi Speci.,NonF&O,
355,Chamanlal Setia,NonF&O,
356,La Opala RG,NonF&O,
357,Genus Power,NonF&O,
358,Goodluck India,NonF&O,
359,Balaji Amines,NonF&O,
360,IDBI Bank,NonF&O,
361,UCO Bank,NonF&O,
362,Shriram Pistons,NonF&O,
363,Indian Metals,NonF&O,
364,Pun. & Sind Bank,NonF&O,
365,Pilani Invest.,NonF&O,
366,Suprajit Engg.,NonF&O,
367,Geojit Fin. Ser.,NonF&O,
368,Nucleus Soft.,NonF&O,
369,South Ind.Bank,NonF&O,
370,Five-Star Bus.Fi,NonF&O,
371,Shakti Pumps,NonF&O,
372,Sunteck Realty,NonF&O,
373,Jindal Worldwide,NonF&O,
374,Responsive Ind,NonF&O,
375,Ahluwalia Contr.,NonF&O,
376,Carraro India,NonF&O,
377,Wockhardt,NonF&O,
378,Hexaware Tech.,NonF&O,
379,T N Merc. Bank,NonF&O,
380,KIOCL,NonF&O,
381,Capri Global,NonF&O,
382,Hatsun Agro,NonF&O,
383,Garden Reach Sh.,NonF&O,
384,Newgen Software,NonF&O,
385,Poly Medicure,NonF&O,
386,Aadhar Hsg. Fin.,NonF&O,
387,Rupa & Co,NonF&O,
388,Protean eGov,NonF&O,
389,Bharti Hexacom,NonF&O,
390,Dollar Industrie,NonF&O,
391,Dwarikesh Sugar,NonF&O,
392,Satin Creditcare,NonF&O,
393,Emcure Pharma,NonF&O,
394,Inox India,NonF&O,
395,Mahindra Holiday,NonF&O,
396,Fedbank Financi.,NonF&O,
397,Advanced Enzyme,NonF&O,
398,R Systems Intl.,NonF&O,
399,Datamatics Glob.,NonF&O,
400,Olectra Greentec,NonF&O,
401,Triveni Turbine,NonF&O,
402,JBM Auto,NonF&O,
403,Lux Industries,NonF&O,
404,Lumax Auto Tech.,NonF&O,
405,Nitin Spinners,NonF&O,
406,Precision Camshf,NonF&O,
407,Sumitomo Chemi.,NonF&O,
408,Apeejay Surrend.,NonF&O,
409,Devyani Intl.,NonF&O,
410,Jai Balaji Inds.,NonF&O,
411,Ramkrishna Forg.,NonF&O,
412,Bansal Wire Inds,NonF&O,
413,Fiem Industries,NonF&O,
414,Sandhar Tech,NonF&O,
415,Ashoka Buildcon,NonF&O,
416,Globus Spirits,NonF&O,
417,Bikaji Foods,NonF&O,
418,Skipper,NonF&O,
419,Godawari Power,NonF&O,
420,Technocraf.Inds.,NonF&O,
421,Gallantt Ispat L,NonF&O,
422,Action Const.Eq.,NonF&O,
423,Volt.Transform.,NonF&O,
424,Texmaco Rail,NonF&O,
425,Pearl Global Ind,NonF&O,
426,Insecticid.India,NonF&O,
427,Star Cement,NonF&O,
428,Refex Industries,NonF&O,
429,K P R Mill Ltd,NonF&O,
430,PNC Infratech,NonF&O,
431,Juniper Hotels,NonF&O,
432,Prince Pipes,NonF&O,
433,R R Kabel,NonF&O,
434,VRL Logistics,NonF&O,
435,Ethos Ltd,NonF&O,
436,Rolex Rings,NonF&O,
437,Nazara Technolo.,NonF&O,
438,Kirloskar Oil,NonF&O,
439,Star Health Insu,NonF&O,
440,Senco Gold,NonF&O,
441,Spandana Sphoort,NonF&O,
442,V-Mart Retail,NonF&O,
443,S P Apparels,NonF&O,
444,Akums Drugs,NonF&O,
445,Global Health,NonF&O,
446,Sai Silks,NonF&O,
447,Power Mech Proj.,NonF&O,
448,Rashi Peripheral,NonF&O,
449,G R Infraproject,NonF&O,
450,Sharda Cropchem,NonF&O,
451,Jyoti CNC Auto.,NonF&O,
452,Tejas Networks,NonF&O,
453,Rainbow Child.,NonF&O,
454,P N Gadgil Jewe.,NonF&O,
455,Techno Elec.Engg,NonF&O,
456,SIS,NonF&O,
457,MAS FINANC SER,NonF&O,
458,Gandhar Oil Ref.,NonF&O,
459,Waaree Energies,NonF&O,
460,Data Pattern,NonF&O,
461,Northern ARC,NonF&O,
462,Mrs Bectors,NonF&O,
463,Health.Global,NonF&O,
464,ASK Automotive,NonF&O,
465,Indigo Paints,NonF&O,
466,Prudent Corp.,NonF&O,
467,JSW Infrast,NonF&O,
468,Updater Services,NonF&O,
469,Indegene,NonF&O,
470,Wonderla Holiday,NonF&O,
471,Jupiter Life Lin,NonF&O,
472,Navkar Corporat.,NonF&O,
473,Gulf Oil Lubric.,NonF&O,
474,INDIA SHELTE FIN,NonF&O,
475,Intellect Design,NonF&O,
476,Cartrade Tech,NonF&O,
477,Landmark Cars,NonF&O,
478,Metropolis Healt,NonF&O,
479,Imagica. Enter.,NonF&O,
480,Avadh Sugar,NonF&O,
481,Infibeam Avenues,NonF&O,
482,Fine Organic,NonF&O,
483,Transrail Light,NonF&O,
484,Pricol Ltd,NonF&O,
485,Bajaj Housing,NonF&O,
486,Sai Life,NonF&O,
487,Allied Blenders,NonF&O,
488,Archean Chemical,NonF&O,
489,Prataap Snacks,NonF&O,
490,Indiamart Inter.,NonF&O,
491,Ujjivan Small,NonF&O,
492,Dr Agarwal's Hea,NonF&O,
493,H.G. Infra Engg.,NonF&O,
494,Orient Electric,NonF&O,
495,Inventurus Knowl,NonF&O,
496,SBFC Finance,NonF&O,
497,Vedant Fashions,NonF&O,
498,Arvind Fashions.,NonF&O,
499,Utkarsh Small F.,NonF&O,
500,Krsnaa Diagnost.,NonF&O,
501,Greenpanel Inds.,NonF&O,
502,Sapphire Foods,NonF&O,
503,Concord Biotech,NonF&O,
504,Rossari Biotech,NonF&O,
505,Harsha Engg Intl,NonF&O,
506,Deep Industries,NonF&O,
507,RPSG Ventures,NonF&O,
508,Neogen Chemicals,NonF&O,
509,Embassy Off.REIT,NonF&O,
510,Samhi Hotels,NonF&O,
511,Hitachi Energy,NonF&O,
512,Cohance Life,NonF&O,
513,Innova Captab,NonF&O,
514,Vishnu Prakash R,NonF&O,
515,Brookfield India,NonF&O,
516,Jubilant Ingrev.,NonF&O,
517,India Pesticides,NonF&O,
518,Supriya Lifesci.,NonF&O,
519,Manoj Vaibhav,NonF&O,
520,C.E. Info System,NonF&O,
521,Aarti Pharma,NonF&O,
522,Electronics Mart,NonF&O,
523,Syrma SGS Tech.,NonF&O,
524,Redtape,NonF&O,
525,Campus Activewe.,NonF&O,
526,Aether Industri.,NonF&O,
527,Motherson Wiring,NonF&O,
528,Sanathan Textile,NonF&O,
529,Yatharth Hospit.,NonF&O,
530,Premier Energies,NonF&O,
531,Blue Jet Health,NonF&O,
532,EMS,NonF&O,
533,Nexus Select,NonF&O,
534,International Ge,NonF&O,
535,Ajax Engineering,NonF&O,
536,Doms Industries,NonF&O,
537,Ceigall India,NonF&O,
538,Vishal Mega Mart,NonF&O,
539,Epack Durable,NonF&O,
540,Western Carriers,NonF&O,
541,Cello World,NonF&O,
542,ITC Hotels,NonF&O,
543,Jaykay Enter.,NonF&O,
544,Jagatjit Inds.,NonF&O,
545,Kothari Indl,NonF&O,
546,TIL,NonF&O,
547,W S Inds.,NonF&O,
548,Spel Semiconduct,NonF&O,
549,Oil Country,NonF&O,
550,Benares Hotels,NonF&O,
551,Rathi Steel,NonF&O,
552,Uni Abex Alloy,NonF&O,
553,Elcid Investment,NonF&O,
554,Rudra Ecovation,NonF&O,
555,KPT Industries,NonF&O,
556,Technvision Ven.,NonF&O,
557,Titan Intech,NonF&O,
558,MILGREY FIN.&INV,NonF&O,
559,Lotus Chocolate,NonF&O,
560,Wanbury,NonF&O,
561,India Steel,NonF&O,
562,Soma Textiles,NonF&O,
563,Shah Alloys,NonF&O,
564,Cubex Tubings,NonF&O,
565,BN Holdings,NonF&O,
566,Simplex Castings,NonF&O,
567,Evexia Lifecare,NonF&O,
568,Vintron Info.,NonF&O,
569,Kohinoor Foods,NonF&O,
570,Guj.Nat.Resour.,NonF&O,
571,Hampton Sky,NonF&O,
572,K&R Rail Engine.,NonF&O,
573,Sharat Industrie,NonF&O,
574,Narmada Macplast,NonF&O,
575,KSE,NonF&O,
576,Choksi Laborator,NonF&O,
577,Marsons,NonF&O,
578,Pro Fin Capital,NonF&O,
579,Sharanam Infra,NonF&O,
580,Texel Industries,NonF&O,
581,Fischer Medical,NonF&O,
582,PVP Ventures,NonF&O,
583,Shalibhadra Fin.,NonF&O,
584,The Invest.Trust,NonF&O,
585,Kerala Ayurveda,NonF&O,
586,Supreme Holdings,NonF&O,
587,GDL Leasing,NonF&O,
588,Ishan Dyes,NonF&O,
589,Star Delta Trans,NonF&O,
590,Garnet Intl.,NonF&O,
591,Beardsell,NonF&O,
592,Refex Renewables,NonF&O,
593,Indian Infotech,NonF&O,
594,Sunrakshakk Inds,NonF&O,
595,Kretto Syscon,NonF&O,
596,TCC Concept,NonF&O,
597,G G Automotive,NonF&O,
598,Upsurge Invest.,NonF&O,
599,Ravindra Energy,NonF&O,
600,Edvenswa Enter,NonF&O,
601,Royal India Corp,NonF&O,
602,Tashi India,NonF&O,
603,Sanjiv.Parant.,NonF&O,
604,Orient Tradelink,NonF&O,
605,Yuvraaj Hygiene,NonF&O,
606,Shraddha Prime,NonF&O,
607,Danlaw Tech.,NonF&O,
608,Prajay Engineers,NonF&O,
609,Sumuka Agro,NonF&O,
610,SG Finserve,NonF&O,
611,Osiajee Texfab,NonF&O,
612,Generic Engineer,NonF&O,
613,Empower India,NonF&O,
614,SRU Steels,NonF&O,
615,Mercury EV-Tech,NonF&O,
616,Sh. Rama Multi.,NonF&O,
617,Aion-Tech Soluti,NonF&O,
618,Variman Global,NonF&O,
619,Ace Soft. Exp.,NonF&O,
620,Vuenow Infratech,NonF&O,
621,GACM Tech,NonF&O,
622,Oriental Rail,NonF&O,
623,Kernex Microsys.,NonF&O,
624,Ashika Credit,NonF&O,
625,Vedavaag Systems,NonF&O,
626,Capital Trade Lk,NonF&O,
627,Veritas (India),NonF&O,
628,Indowind Energy,NonF&O,
629,C C C L,NonF&O,
630,Inspirisys Sol.,NonF&O,
631,ARC Finance,NonF&O,
632,Sujala Trading &,NonF&O,
633,Sejal Glass,NonF&O,
634,BMW Industries,NonF&O,
635,Oriental Trimex,NonF&O,
636,MIC Electronics,NonF&O,
637,Magnum Ventures,NonF&O,
638,Niraj Cement,NonF&O,
639,Brahmaputra Inf.,NonF&O,
640,Lotus Eye Hospit,NonF&O,
641,Prakash Steelage,NonF&O,
642,Excel Realty,NonF&O,
643,Welspun Investme,NonF&O,
644,Authum Invest,NonF&O,
645,Ducon Tech,NonF&O,
646,Surana Solar,NonF&O,
647,Sarthak Metals,NonF&O,
648,Pavna Industries,NonF&O,
649,Innovators,NonF&O,
650,Kritika Wires,NonF&O,
651,Halder Venture,NonF&O,
652,VMS Industries,NonF&O,
653,Thomas Scott,NonF&O,
654,Aerpace Indus,NonF&O,
655,Integra Essentia,NonF&O,
656,Thejo Engg.,NonF&O,
657,SRG Housing,NonF&O,
658,JITF Infra Logis,NonF&O,
659,Chemtech Indust.,NonF&O,
660,Agri-Tech India,NonF&O,
661,Moneyboxx Fin.,NonF&O,
662,Meghna Infracon,NonF&O,
663,Aryaman Capital,NonF&O,
664,Atishay,NonF&O,
665,Dhabriya Poly.,NonF&O,
666,Ceinsys Tech,NonF&O,
667,Alstone Textiles,NonF&O,
668,Emerald Finance,NonF&O,
669,Niyogin Fintech,NonF&O,
670,Ganesha Ecoverse,NonF&O,
671,Tirupati Forge,NonF&O,
672,Bombay Super Hyb,NonF&O,
673,Waaree Tech.,NonF&O,
674,Bella Casa Fashi,NonF&O,
675,Wealth First Por,NonF&O,
676,Aarnav Fashions,NonF&O,
677,Shanti Educat.,NonF&O,
678,NINtec Systems,NonF&O,
679,Madhav Infra,NonF&O,
680,Crown Lifters,NonF&O,
681,Nitiraj Engineer,NonF&O,
682,Leading Lea. Fin,NonF&O,
683,Dev Information,NonF&O,
684,Sikko Industries,NonF&O,
685,Aayush Art,NonF&O,
686,Trident Texofab,NonF&O,
687,Pashupati Cotsp.,NonF&O,
688,Shree Tirupati,NonF&O,
689,R M Drip & Sprin,NonF&O,
690,Reliable Data,NonF&O,
691,Omfurn India,NonF&O,
692,Sheetal Cool,NonF&O,
693,Felix Industries,NonF&O,
694,MRC Agrotech,NonF&O,
695,Ajooni Biotech,NonF&O,
696,Moksh Ornaments,NonF&O,
697,South West Pinn.,NonF&O,
698,Brand Concepts,NonF&O,
699,Godha Cabcon,NonF&O,
700,Tembo Global,NonF&O,
701,Taylormade Renew,NonF&O,
702,Active Clothing,NonF&O,
703,Shree Vasu Logis,NonF&O,
704,E2E Networks,NonF&O,
705,Power & Instrum.,NonF&O,
706,Softtech Enginee,NonF&O,
707,Interise,NonF&O,
708,Megastar Foods,NonF&O,
709,Laxmi Goldorna,NonF&O,
710,Ganga Forging,NonF&O,
711,A B Infrabuild,NonF&O,
712,Rajnandini Metal,NonF&O,
713,Aaron Industries,NonF&O,
714,Silgo Retail,NonF&O,
715,Energy InfrTrust,NonF&O,
716,Anand Rayons,NonF&O,
717,City Pulse Multi,NonF&O,
718,SBC Exports,NonF&O,
719,DC Infotech,NonF&O,
720,Hindprakash Indu,NonF&O,
721,DJ Mediaprint,NonF&O,
722,Atam Valves,NonF&O,
723,Shine Fashions,NonF&O,
724,Rajeshwari Cans,NonF&O,
725,DRC Systems,NonF&O,
726,Network People,NonF&O,
727,Gretex Corporate,NonF&O,
728,Indiabulls Enter,NonF&O,
729,Foce India,NonF&O,
730,Bhatia Colour,NonF&O,
731,Modi's Navnirman,NonF&O,
732,Kesar India,NonF&O,
733,Olatech Solution,NonF&O,
734,B-Right Real,NonF&O,
735,Healthy Life,NonF&O,
736,Kandarp Digi,NonF&O,
737,Integrated Perso,NonF&O,
738,RBM Infracon,NonF&O,
739,Droneacharya Aer,NonF&O,
740,PNGS Gargi FJ,NonF&O,
